Summary,Temperature (C),Humidity,Pressure (millibars)
Partly Cloudy,9.472222222,0.89,1015.13
Partly Cloudy,9.355555556,0.86,1015.63
Mostly Cloudy,9.377777778,0.89,1015.94
Partly Cloudy,8.288888889,0.83,1016.41
Mostly Cloudy,8.755555556,0.83,1016.51
Partly Cloudy,9.222222222,0.85,1016.66
Partly Cloudy,7.733333333,0.95,1016.72
Partly Cloudy,8.772222222,0.89,1016.84
Partly Cloudy,10.82222222,0.82,1017.37
Partly Cloudy,13.77222222,0.72,1017.22
Partly Cloudy,16.01666667,0.67,1017.42
Partly Cloudy,17.14444444,0.54,1017.74
Partly Cloudy,17.8,0.55,1017.59
Partly Cloudy,17.33333333,0.51,1017.48
Partly Cloudy,18.87777778,0.47,1017.17
Partly Cloudy,18.91111111,0.46,1016.47
Partly Cloudy,15.38888889,0.6,1016.15
Mostly Cloudy,15.55,0.63,1016.17
Mostly Cloudy,14.25555556,0.69,1015.82
Mostly Cloudy,13.14444444,0.7,1015.83
Mostly Cloudy,11.55,0.77,1015.85
Mostly Cloudy,11.18333333,0.76,1015.77
Partly Cloudy,10.11666667,0.79,1015.4
Mostly Cloudy,10.2,0.77,1015.51
Partly Cloudy,10.42222222,0.62,1014.4
Partly Cloudy,9.911111111,0.66,1014.2
Mostly Cloudy,11.18333333,0.8,1008.71
Partly Cloudy,7.155555556,0.79,1014.47
Partly Cloudy,6.111111111,0.82,1014.45
Partly Cloudy,6.788888889,0.83,1014.49
Mostly Cloudy,7.261111111,0.85,1014.52
Mostly Cloudy,7.8,0.83,1014.16
Mostly Cloudy,9.872222222,0.78,1014.24
Mostly Cloudy,12.22222222,0.72,1014.25
Mostly Cloudy,15.09444444,0.61,1013.96
Mostly Cloudy,17.35555556,0.52,1013.85
Mostly Cloudy,19.00555556,0.46,1013.04
Mostly Cloudy,20.04444444,0.4,1012.22
Mostly Cloudy,21.05,0.4,1011.44
Mostly Cloudy,21.18333333,0.37,1010.52
Mostly Cloudy,20.11666667,0.4,1009.83
Mostly Cloudy,20.21666667,0.36,1009.26
Mostly Cloudy,20,0.43,1008.76
Mostly Cloudy,17.8,0.5,1008.36
Mostly Cloudy,16.06111111,0.53,1008.11
Mostly Cloudy,15.02222222,0.55,1008.15
Overcast,14.42222222,0.58,1007.85
Overcast,14.25555556,0.59,1007.89
Overcast,13.77222222,0.6,1007.36
Overcast,13.28333333,0.63,1007.26
Overcast,8.633333333,0.87,1005.1
Overcast,11.25,0.83,1007.01
Overcast,11.18333333,0.89,1006.73
Overcast,10.69444444,0.95,1006.59
Mostly Cloudy,11.11111111,0.93,1006.34
Mostly Cloudy,11.11111111,0.93,1006.09
Partly Cloudy,12.16666667,0.82,1005.97
Partly Cloudy,12.75555556,0.79,1005.63
Partly Cloudy,13.83888889,0.84,1005.83
Partly Cloudy,16.18333333,0.73,1005.97
Mostly Cloudy,17.51666667,0.67,1005.64
Mostly Cloudy,17.38333333,0.67,1005.2
Mostly Cloudy,17.36111111,0.71,1005.1
Mostly Cloudy,17.20555556,0.74,1004.65
Mostly Cloudy,15.63333333,0.81,1004.04
Overcast,13.57777778,0.9,1004.08
Foggy,10.91111111,0.86,1004.61
Foggy,8.8,0.99,1004.99
Overcast,8.961111111,0.93,1004.85
Overcast,8.2,0.96,1004.96
Overcast,7.688888889,0.96,1005.14
Overcast,7.766666667,0.96,1005.05
Foggy,8.2,0.96,1004.8
Foggy,8.177777778,0.93,1004.89
Mostly Cloudy,7.311111111,0.82,1007
Overcast,7.644444444,0.93,1004.3
Overcast,6.622222222,0.93,1003.68
Overcast,6.683333333,0.93,1003.86
Overcast,6.088888889,0.93,1003.57
Overcast,6.066666667,0.93,1003.96
Breezy and Mostly Cloudy,6.144444444,0.93,1004.1
Breezy and Mostly Cloudy,7.133333333,0.8,1004.26
Overcast,7.205555556,0.86,1004.18
Mostly Cloudy,7.566666667,0.84,1004.23
Mostly Cloudy,8.9,0.77,1004.47
Mostly Cloudy,9.961111111,0.71,1004.52
Mostly Cloudy,9.888888889,0.71,1004.29
Mostly Cloudy,11.06666667,0.71,1003.93
Overcast,10.11666667,0.76,1004
Overcast,11.03888889,0.66,1004.3
Overcast,10.65,0.7,1004
Overcast,10.05,0.7,1004.39
Mostly Cloudy,9.9,0.66,1005.48
Overcast,8.794444444,0.71,1005.89
Mostly Cloudy,7.827777778,0.72,1006.37
Overcast,7.855555556,0.72,1006.56
Mostly Cloudy,7.316666667,0.75,1007.07
Overcast,7.244444444,0.75,1007.37
Partly Cloudy,5.438888889,0.88,1012.23
Overcast,7.2,0.76,1007.28
Overcast,6.688888889,0.7,1007.18
Overcast,6.211111111,0.73,1007.39
Overcast,6.111111111,0.76,1007.67
Overcast,6.111111111,0.76,1007.98
Overcast,6.172222222,0.76,1008.57
Overcast,7.222222222,0.71,1008.87
Overcast,7.288888889,0.73,1009.44
Overcast,7.405555556,0.72,1010.03
Overcast,7.961111111,0.7,1010.22
Overcast,8.033333333,0.7,1010.39
Overcast,9.077777778,0.65,1010.24
Overcast,9.05,0.62,1010
Overcast,9.05,0.65,1009.98
Overcast,9.183333333,0.65,1010.05
Overcast,9.072222222,0.7,1010.1
Overcast,7.983333333,0.75,1010.39
Overcast,8.072222222,0.75,1010.91
Overcast,7.894444444,0.82,1011.32
Overcast,7.311111111,0.83,1011.61
Mostly Cloudy,7.338888889,0.84,1011.97
Mostly Cloudy,6.622222222,0.85,1012.22
Partly Cloudy,6.066666667,0.88,1012.74
Partly Cloudy,8.338888889,0.88,1015.35
Mostly Cloudy,5.183333333,0.91,1013.29
Mostly Cloudy,3.722222222,0.94,1013.39
Mostly Cloudy,4.855555556,0.93,1013.45
Foggy,5.211111111,0.92,1013.4
Overcast,6.255555556,0.92,1013.81
Mostly Cloudy,7.794444444,0.87,1014.7
Mostly Cloudy,10.05,0.76,1014.67
Mostly Cloudy,12.2,0.66,1014.66
Mostly Cloudy,12.7,0.63,1014.8
